study_id,qtl_name,definition,expectation,secondary_limit,tolerance_limit,numerator_definition,denominator_definition,status,retirement_date,comment,has_sister_kri
B7981027,Non-rollover rate to,"The percentage of participants who fail to roll over
B7981028 study from B7981027 study to B7981028 study.
Dataset and DS001_3",22,,>38%,pts who completed study B7981027 but did not enroll in B7981028.,all enrolled pts.,active,,,TRUE
B7981027,Participants with important,"The percentage of participants with important
protocol deviations due to use protocol deviations due to use of prohibited
of prohibited medications medications during the study treatment period.
during the
study treatment period.
Dataset and KRI_PD_RATE",9,,>12%,Number of randomized pts who received at least one dose of study intervention and reported important protocol deviations due to prohibited meds ECSTDTC_001 is not Null and (X_ECDOSE_001 != 0 or X_ECDOSE_001 is NULL) PROTOCOL_DEVIATION_CATEGORY= CCMeds,"all randomized patients who received at least one dose of study intervention Comment, if As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating QTLs applicable in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,FALSE
B7981040,Number of subjects,"Number of randomized subjects who do not complete the
who discontinue from study per protocol
the study
Dataset and DS001_3",120,N/A,150 subjects,,,active,,,TRUE
B7981040,# of randomized,"The number of randomized subjects who at randomization
subjects with were classified with a FST of I or II
Fitzpatrick skin type
(FST) I and II
Dataset and SCSKT006 Fitzpatrick",120,N/A,180 subjects,,,active,,,FALSE
B7981040,# of randomized,"The number of randomized subjects who at randomization
subjects with were classified with a FST of III or IV
Fitzpatrick skin type
(FST) III and IV
Dataset and SCSKT006 Fitzpatrick",330,N/A,360 subjects,,,active,,,FALSE
B7981040,# of randomized,"The number of randomized subjects who at randomization
subjects with were classified with a FST of V or VI
Fitzpatrick skin type
(FST) V and VI
Dataset and SCSKT006 Fitzpatrick",100,N/A,120 subjects,,,active,,,FALSE
B7981040,Percent of randomized,"% of randomized participants who discontinue from each
participants who FST group (I&II, III&IV, V&VI) prior to week 52
discontinue from each
FST group (I&II, III&IV,
V&VI)


CDS01-RF02
Dataset and SCSKT006 Fitzpatrick",20,N/A,25%,"Include subjects where: DS001_3 Randomization: Randomization Date not missing o DS001_5 Disposition - End of Blinded Treatment: Date not missing and Discontinuation Reason o not equal to ‘Completed’ For FST I & II: SCSKT006 Fitzpatrick Skin Classification: Skin Classification in (TYPEI, TYPEII) o For FST III & IV: SCSKT006 Fitzpatrick Skin Classification: Skin Classification in (TYPEIII, o TYPEIV) For FST V & VI: SCSKT006 Fitzpatrick Skin Classification: Skin Classification in (TYPEV, TYPEVI) o","Include subjects where: DS001_3 Randomization: Randomization Date not missing o For FST I & II: SCSKT006 Fitzpatrick Skin Classification: Skin Classification in (TYPEI, TYPEII) o For FST III & IV: SCSKT006 Fitzpatrick Skin Classification: Skin Classification in (TYPEIII, o TYPEIV) For FST V & VI: SCSKT006 Fitzpatrick Skin Classification: Skin Classification in (TYPEV, TYPEVI) o Comment, if Set up as 3 QTLs on dashboard: applicable 1. Percent of randomized participants who discontinue from each FST group: I&II 2. Percent of randomized participants who discontinue from each FST group: III&IV 3. Percent of randomized participants who discontinue from each FST group: V&VI",active,,,FALSE
B7981041,Discontinuation Rate,"% of randomized participants in the B7981041 study who
in the Study discontinued prior to the end of the study
Dataset and DS001_3:",40,N/A,60%,"• Count of randomized subjects who discontinued prior to the end of the study, defined as: • Count of Disposition – Treatment (DS001_5) forms where Date of Discontinuation/Treatment/Death (DSSTDTC_001) is not null and Status (DSDECOD_001) is not “COMPLETED”","• Count of all randomized subjects, defined as: Count of Randomization (DS001_3) forms where Date of Randomization (DSTDTC_001) is not null Comment, if As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating applicable QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,FALSE
B7981080,% of randomized part,"% of randomized part Ia participants who do not complete
Ia participants who the study per protocol
discontinue from the
study
Dataset and DS001_3",,N/A,>25%,Include subjects where DS001_3 Randomization: Part 1a subjects: All patients whose DSREFID_001 does not o start with ‘15’ DS001_3 Randomization; Randomization Date not missing and o DS001_5 Disposition End of Week 52: Date of Completion is not missing and o DSDECOD!=’Completed’ and SUPPDS_DSNEXT_001!='EXTENSION',"Include subjects where DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part 1a subjects: All patients whose DSREFID_001 does not o start with ‘15’ Comment, if applicable",active,,,FALSE
B7981080,% of randomized part,"% of randomized part II participants who do not complete
II participants who the study per protocol
discontinue from the
study
Dataset and DS001_3",,N/A,>25%,Include subjects where DS001_3 Randomization: Part II subjects: All patients whose DSREFID_001 starts with o ‘15’ DS001_3 Randomization; Randomization Date not missing and o DS001_5 Disposition End of Week 52: Date of Completion is not missing and o DSDECOD!=’Completed’ and SUPPDS_DSNEXT_001!='EXTENSION',"Include subjects where DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part II subjects: All patients whose DSREFID_001 starts with o ‘15’ Comment, if applicable",active,,,FALSE
B7981080,% of randomized Part,"The % of randomized Part Ia participants that are from FST
Ia participants with of I or II
Fitzpatrick skin type
(FST) I and II


CDS01-RF02
Dataset and DS001_3",15,N/A,10%,"Include subjects where: SCSKT006 Fitzpatrick Skin Classification: Skin Type in (Type I, Type II) o DS001_3 Randomization; Randomization Date not missing and o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not o start with ‘15’","Include subjects where: DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not start o with ‘15’ Comment, if QTL is retired as of Feb 2026. applicable 8.4. % of randomized part Ia participants with Fitzpatrick skin type (FST) III and IV",active,,,FALSE
B7981080,% of randomized part,"The % of randomized part Ia participants who are classified
Ia participants with with a FST of III or IV
Fitzpatrick skin type
(FST) III and IV
Dataset and DS001_3",60,N/A,70%,"Include subjects where: SCSKT006 Fitzpatrick Skin Classification: Skin Type in (Type III, Type IV) o DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not o start with ‘15’","Include subjects where: DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not start o with ‘15’ Comment, if QTL is retired as of Feb 2026. applicable",active,,,FALSE
B7981080,% of randomized part,"The % of part Ia participants randomized are from FST V or
Ia participants with VI
Fitzpatrick skin type
(FST) V and VI
Dataset and DS001_3",15,N/A,10%,"Include subjects where: SCSKT006 Fitzpatrick Skin Classification: Skin Type in (Type V, Type VI) o DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not o start with ‘15’","Include subjects where: DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not o start with ‘15’ Comment, if QTL is retired as of Feb 2026. applicable 8.6. % of randomized participants (FST subgroup I and II) in Part Ia who discontinue from the study",active,,,FALSE
B7981080,% of randomized,"% of randomized part Ia participants who discontinue from
participants (FST each FST group (I&II) prior to week 52
subgroup I and II) in
Part Ia who
discontinue from the
study


CDS01-RF02
Dataset and DS001_3",20,N/A,25%,"Include subjects where SCSKT006 Fitzpatrick Skin Classification: Skin Type in (Type I, Type II) o DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not o start with ‘15’ DS001_5 Disposition End of Week 52: Date of Completion is not missing and o DSDECOD!=’Completed’ and SUPPDS_DSNEXT_001!='EXTENSION'","Include subjects where DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not o start with ‘15’ SCSKT006 Fitzpatrick Skin Classification: Skin Type in (Type I, Type II) o Comment, if applicable",active,,,FALSE
B7981080,% of randomized,"% of randomized part Ia participants who discontinue from
participants (FST each FST group (III&IV) prior to week 52
subgroup III and IV) in
Part Ia who
discontinue from the
study
Dataset and DS001_3",20,N/A,25%,"Include subjects where SCSKT006 Fitzpatrick Skin Classification: Skin Type in (Type III, Type IV) o DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not o start with ‘15’ DS001_5 Disposition End of Week 52: Date of Completion is not missing and o DSDECOD!=’Completed’ and SUPPDS_DSNEXT_001!='EXTENSION' •","Include subjects where DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not o start with ‘15’ SCSKT006 Fitzpatrick Skin Classification: Skin Type in (Type III, Type IV) o Comment, if As per clinician: Only Part Ia subjects applicable",active,,,FALSE
B7981080,% of randomized,"% of randomized part Ia participants who discontinue from
participants (FST FST group (V&VI) prior to week 52
subgroup V and VI) in
Part Ia who
discontinue from the
study
Dataset and DS001_3",20,N/A,25%,"Include subjects where SCSKT006 Fitzpatrick Skin Classification: Skin Type in (Type V, Type VI) o DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not o start with ‘15’ DS001_5 Disposition End of Week 52: Date of Completion is not missing and o DSDECOD!=’Completed’ and SUPPDS_DSNEXT_001!='EXTENSION' •","Include subjects where DS001_3 Randomization; Randomization Date not missing o DS001_3 Randomization: Part Ia subjects: All patients whose DSREFID_001 does not o start with ‘15’ SCSKT006 Fitzpatrick Skin Classification: Skin Type in (Type V, Type VI) o Comment, if applicable",active,,,FALSE
B7981094,RETIRED Overall Enrollment (adults and,"Adults and Adolescents with SALT >/= 95
adolescents) by BL SALT Score >/=95
Dataset and SEVERITY OF ALOPECIA TOOL (SALT)",250,,275,,,retired,,,FALSE
B7981094,RETIRED Overall Adult Enrollment,"Enrollment of Adults
based on Age (>/=18 y/o)
Dataset and DEMOGRAPHY(DM001)",250,NA,275,,,retired,,,FALSE
B7981119,Randomized participants who discontinue,"% of randomized participants who do not
from the study intervention complete the study per protocol
Dataset and Dataset: [DS001_3] Randomization",20,,,Include subjects where o DS001_3 Randomization; Date of Randomization not missing o DS001_5 Disposition: Treatment; Date of Completion/Discontinuation/Death not missing o DS001_5 Disposition: Treatment; Status not equal to “COMPLETED” •,"Include subjects where o DS001_3 Randomization; Date of Randomization not missing Comment, if applicable",active,,,TRUE
C1071005,% participants in Part 2,"% of randomized participants in Part 2 Arms A and C who are
Arms A and C lost to lost to follow-up or withdraw consent from the study for Overall
follow-up or withdraw Survival (OS) follow-up
consent from study",5,10%,Secondary and Tolerance Limits Tolerance Limit 15%,Include subjects where DS001_2 Randomization Date not missing. o • X_DS_SLOPD001 Subject Reason for Withdrawal is “LOST TO FOLLOW-UP” or “WITHDRAWAL BY SUBJECT” or “WITHDRAWAL BY PARENT/GUARDIAN”,Include subjects where DS001_2 Enrollment Date not missing,active,,"Clinician will be mitigating the QTL.
8.1.2. QTL 2: % of participants no longer being followed for Progression Free Survival without an event - Retired",FALSE
C1071005,Participants in Part 2 Arms A,"% of randomized participants in Part 2 Arms A and C no
and C no longer being longer being followed for PFS without an event (Progressive
followed for Progression Disease, initiation of new cancer therapy)
Free Survival without an
event",10,N/A,20%,Include subjects where: EC001_4: Start Date Time is not missing. o EC001_4: Actual Dose is not 0 o RSIMWG041: Disease Status Assessment is NE or blank on DA_X and DA_X+1 o •,Include patient-visits where: o CP_VISIT_ID is not null o EC001_4: Start Date Time is not missing o,active,,"• Retired in 2024. Being tracked outside of CluePoints due to programming to support the QTL was too
complex for CluePoints.
• The datasets included are: DS001_2, EC001_4, BICR, TUTMM001, DS001_5.
• This QTL only comprises PART 2/ARM A OR PART 2/ARM C.
• The name of the QTL in CluePoints differs from what is stated in this document because the between the
QTL specification dated 15Dec2023 and the 11Jun2024 version, the QTL titled changed from ‘% of patients
in Arms A and C with 2 consecutive non-evaluable/missing disease assessments prior to Progressive
Disease‘ to ‘% of participants in Arms A",FALSE
C1071006,% of Part 2 participants with,"Percentage of treated participants with at least 3
3 consecutive non- consecutive non-evaluable or missing disease
evaluable/missing disease assessments while participants are on treatment
assessments (monitoring starting with Part 2 participants).


CDS01-RF02
Dataset and RSIMWG041:",5,N/A,10%,o Count of: o RSORRES_OVRLRESP_041 = NE or o RSORRES_OVRLRESP_041 MISSING for 3 consecutive visits •,o Count of first: o ECSTDTC_001_4_1(NOT MISSING),active,,,TRUE
C1071006,% of Part 2 participants,"Percentage of participants with missing assessments for
with missing initial and 12 months post initial MRD (for Part 2
assessments for initial participants).
MRD and 12 months
post initial MRD
Dataset and Z_MBIO002:",5,N/A,10%,"o Count of: o Where Visit RefName = DA_11: o D_SAMPNAME_002 = BMA for MRD and Z_MBIOSMC_002 = NO or o Form is marked as NOT DONE, NOT APPLICABLE or UNKNOWN AND o Where Visit RefName = SCR: o D_SAMPNAME_002 = BMA for MRD and Z_MBIOSMC_002 = NO or o Form is marked as NOT DONE, NOT APPLICABLE or UNKNOWN •","o Count of first: o ECSTDTC_001_4(NOT MISSING) Comment, if N/A applicable",active,,,TRUE
C1071006,Number of Part 2 participants with,"Number of participants incorrectly randomized
non-measurable disease at baseline when participant is found to have non-
measurable disease at time of screening.
(monitoring starting with Part 2 participants)


CDS01-RF02
Dataset and DS001:",1,N/A,3 per arm (6 total),,,active,,,FALSE
C1071007,RETIRED: % of participants,"Percentage of treated participants with at least 2
with 2 consecutive non- consecutive non-evaluable or missing disease
evaluable/missing disease assessments while participants are on treatment.
assessments
Dataset and RSIMWG041:",5,N/A,10%,Count of: RSORRES_OVRLRESP_041 = NE or RSORRES_OVRLRESP_041 MISSING for 2 consecutive visits,"Count of first: ECSTDTC_001_4_1* + ECSTDTC_001_4_2** NOT MISSING) *ARM A: ELRANTAMAB **ARM B: LENALIDOMIDE Comment, if Retired: Last used in 2022-11-29 KRI | QTL. QTL was in hiatus for subsequent KRI analyses as team applicable developed new QTLs. DocUUID : d7c3b653-775a-4827-bf7e-7f64dbcb354b",retired,,,FALSE
C1071007,% of participants with 2,"The percentage of treated participants with at least 2
consecutive non- consecutive non-evaluable or missing disease
evaluable/missing disease assessments while participants are on treatment. (starting
assessments (starting with with PA2 participants)
PA2 participants)
Dataset and DS001_3: DSREFID_001 ,",5,N/A,10%,o Include study Arms B and C (Randomization Group = ARM B (LENALIDOMIDE) or ARM C) participants where all the following conditions are true: DS001_3 Randomization: Randomization Number is 5 digits in length). ▪ RSIMWG041 IMWG Uniform Response Assessment: Disease Status Assessment = NE or Disease Status Assessment is missing for 2 consecutive visits. ▪ EC001_4_1 Treatment- Elranatamab Step-up* or EC001_4_2 Treatment Lenalidomide**: Sum of Actual Dose is > 0mg •,"o Include study Arms B and C (Randomization Group = ARM B (LENALIDOMIDE) or ARM C) participants where all the following conditions are true: DS001_3 Randomization: Randomization Number is 5 digits in length). ▪ EC001_4_1 Treatment- Elranatamab Step-up* or EC001_4_2 Treatment Lenalidomide**: Sum of Actual Dose is > 0mg *ARM C: ELRANTAMAB **ARM B: LENALIDOMIDE Comment, if applicable",active,,,TRUE
C1071007,The % of participants who,"The percentage of treated participants who are lost to
are lost to follow-up or follow-up
withdraw consent from the or withdraw consent from the study while ongoing or in
study (starting with PA2 follow-up for Overall Survival (OS) follow-up. (starting with
participants)
PA2 participants)
DocUUID : d7c3b653-775a-4827-bf7e-7f64dbcb354b

CDS01-RF02
Dataset and DS001_3: DSREFID_001,",5,N/A,10%,o Include study Arms B and C (Randomization Group = ARM B (LENALIDOMIDE) or ARM C) participants where all the following conditions are true: ▪ DS001_3 Randomization: Randomization Number is 5 digits in length). ▪ (DS001_7 Withdrawal of Consent: Withdrawal of Consent Date not missing) OR (DS001_6 Disposition- Long Term Follow-up: Date of Completion/Discontinuation/Death not missing AND Status = LOST TO FOLLOW-UP). ▪ EC001_4_1 Treatment- Elranatamab Step-up* or EC001_4_2 Treatment Lenalidomide**: Sum of Actual Dose is > 0mg •,"o Include study Arms B and C (Randomization Group = ARM B (LENALIDOMIDE) or ARM C) participants where all the following conditions are true: ▪ DS001_3 Randomization: Randomization Number is 5 digits in length). ▪ EC001_4_1 Treatment- Elranatamab Step-up* or EC001_4_2 Treatment Lenalidomide**: Sum of Actual Dose is > 0mg *ARM C: ELRANTAMAB **ARM B: LENALIDOMIDE Comment, if applicable",active,,,FALSE
C1071007,RETIRED:,"The percentage of participants who are randomized but
The % of randomized don't receive treatment. (starting with PA2)
participants not treated
(starting with PA2).
Dataset and DS001_3: DSREFID_001,",1,N/A,3%,o Include study Arms B and C (Randomization Group = ARM B (LENALIDOMIDE) or ARM C) participants where all the following conditions are true: ▪ DS001_3 Randomization: Randomization Number is 5 digits in length). ▪ DS001_3 Randomization: Randomization Date not missing ▪ DS001_5 Disposition Treatment: Date of Completion/Discontinuation/Death not missing ▪ EC001_4_1 Treatment- Elranatamab Step-up* or EC001_4_2 Treatment Lenalidomide**: Sum of Actual Dose is not >0mg or there are no treatment records for these randomized subjects •,"o Include study Arms B and C (Randomization Group = ARM B (LENALIDOMIDE) or ARM C) participants where all the following conditions are true: ▪ DS001_3 Randomization: Randomization Number is 5 digits in length). ▪ DS001_3 Randomization: Randomization Date not missing *ARM C: ELRANTAMAB **ARM B: LENALIDOMIDE Comment, if applicable DocUUID : d7c3b653-775a-4827-bf7e-7f64dbcb354b",retired,,,FALSE
C2321003,The % of participants,"The percentage of treated participants who are lost to
who are lost to follow- follow-up or withdraw consent from the study for OS follow-
up or withdraw up relative to the total number of treated participants
consent from the study
for overall survival
(OS) follow-up
Dataset and SM_DS001:",7.5,10%,12.5%,- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • (DS001_7 Withdrawal of Consent: Withdrawal of Consent Date not missing) OR (DS001_6 Disposition- Follow-up: Date of Completion/Discontinuation/Death not missing AND Status = LOST TO FOLLOW-UP). • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg,"- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null. • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg Comment, if Linked to IQMP Risk ID #13419. applicable",active,,,TRUE
C2321003,% of participants with 2 consecutive,"The percentage of treated participants with at
non-evaluable / missing disease least 2 consecutive non-evaluable or missing
assessments disease (soft tissue and/or bone) assessments
while participants are on treatment.
Dataset and SM_DS001: DSSTDTC_001",4.5,6%,7.5%,"- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null. • TRPCWG104/105/106: flag 2 or more consecutive visits for Bone Response = NE or Bone Response is missing (merge all three bone scan assessment pages to flag 2 consecutive visits during all scheduled visits. • RSIOTA001: flag 2 or more consecutive visits for overall tumor assessment = NOT EVALUABLE excluding when RSIOTA001 Target Lesions (RSORRES_TRGRESP_001) = No Target Lesion at Baseline, AND Non-Target Lesions (RSORRES_NTRGRESP_001) = No Non-Target Lesion at Baseline, AND New Lesion (RSORRES_NEWLPROG_001) = No. • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg","- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg Comment, if applicable",active,,,TRUE
C2321003,The % of randomized,"The percentage of randomized participants that do not
participants that are receive study treatment.
not treated.
Dataset and SM_DS001:",1.5,2%,4%,- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is Null or Total Daily Dose is = 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is Null or Actual Dose is = 0mg (not treated subjects),"- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null Comment, if applicable 8.1.4. QTL4",active,,,TRUE
C2321003,Percentage of participants,"% of treated participants with non-evaluable or
with missing and/or non- missing bone scan assessments at week 9 (within
evaluable bone scan window allowed by protocol)
assessments at week 9
Dataset and SM_DS001: DSSTDTC_001",3,4%,6%,- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • CPENEVT = WEEK9 and date of visit is not missing • TRPCWG104: Date of Scan is missing or Bone Response = NE or Bone Response is missing • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg,"- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg • CPENEVT = WEEK9 and date of visit is not missing Comment, if applicable",active,,,TRUE
C2321003,Percent of participants who,"Percentage of treated randomized participants who
do not have a confirmatory have a bone scan assessment of unconfirmed PD and
bone scan after unconfirmed discontinue from study treatment (due to progression)
bone disease was detected without a confirmatory bone scan
Dataset and SM_DS001: DSSTDTC_001",6,8%,11%,"Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg • On the PCWG3 CRF forms (TRPCWG104/105/106) for FIRST SCAN AFTER TREATMENT INITIATION, POST1-TREATMENT SCAN and POST-TREATMENT SCAN if the Bone Response is “Progressive Disease Unconfirmed” without having a result of “Progressive Disease” (i.e. confirmed PD) after this and on the Disposition Treatment forms (DS001_5, DS001_5_1) the Status [DSDECOD_001_5] is “Progressive Disease”. o Exclude subjects where RSIOTA001 Overall: [RSORRES_OVRLRESP_001] =*/ PROGRESSIVE DISEASE when Date of Tumor Assessment: [RSDTC_001] is no later than to DISPOSITION - TREATMENT BLINDED THERAPY (DS001_5), Date of Completion/Discontinuation/Death: [DSSTDTC_001_5] OR DISPOSITION - TREATMENT ENZALUTAMIDE (","Randomized participants who have at least one post-baseline bone scan completed. Date of Scan is not null for at least one of PCWG104, PCWG105, or PCWG106. Comment, if applicable",active,,,TRUE
C2321008,Participants with at least 2,"The percentage of randomized participants with at
consecutive non-evaluable or Descriptive least 2 consecutive non-evaluable or missing disease
missing disease (soft definition of (soft tissue and/or bone) assessments
tissue and/or bone) the QTL,
assessments typically
‘Definition’
from IQMP",5,6%,7.5%,,,active,,"QTL updated based on QTL Specification V2.0 document.
As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating
QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence
of QTL monitoring at final QTL analysis.",TRUE
C2321008,Participants who are,"The percentage of randomized participants who are lost
lost to follow-up or Descriptive to follow-up or withdraw consent from the study for
withdraw consent from definition of OS follow-up
the study for overall the QTL,
survival (OS) follow-up typically
‘Definition’
from IQMP
PFIZER CONFIDENTIAL
TMF Doc ID 928.06
Page 33 of 50
DDooccUUUUIIDD :: 67f560d05b8cc128--e5535d7b--44050c19--9ba89795--4fe7b47a7f94c7501412ae37

CDS01-RF02",7.5,10%,12.5%,o Include subjects where: o DS001_3 Randomization; Randomization Date not missing o DS001_6 Disposition: Follow-Up; Status is “LOST TO FOLLOW-UP” or “WITHDRAWAL o BY SUBJECT” •,o Include subjects where: o DS001_3 Randomization; Randomization Date not missing PFIZER CONFIDENTIAL TMF Doc ID 928.06 Page 35 of 50 DDooccUUUUIIDD :: 67f560d05b8cc128--e5535d7b--44050c19--9ba89795--4fe7b47a7f94c7501412ae37,active,,"QTL updated based on QTL Specification V2.0 document.
As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating
QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence
of QTL monitoring at final QTL analysis.",TRUE
