study_id,cmp_version,cmp_date,crf_system,external_data_sources,num_global_kris_active,num_ss_kris_active,num_qtls_active,kri_analysis_frequency,first_kri_trigger,has_reactogenicity_ediary,has_pk_sampling,has_immunogenicity,has_nasal_swab,has_cssrs,has_epro_instruments,saturday_sunday_flag,pdp_applicable
B7981027,2.0,10-Mar-2026,Inform Volume 2 / Inform Volume 3 / REDCap,"4.1. Scheduled Visits .....................................................................................................7, 4.2. Unscheduled Visits, Technical, and Log Forms ................................................8, 4.3. Remapped Visits ....................................................................................................8, 4.4. Saturday/Sunday ...................................................................................................9, 5. KEY RISK INDICATORS ..................................................................................................10, 5.1. Global Standard KRIs .........................................................................................10, 5.2. Study Specific KRIs .............................................................................................16, 5.2.1. Study Specific KRI 1 - Missed Assessment – C-SSRS ....................17, 5.2.2. Study Specific KRI 2 - Early Termination Rate ..................................18, 5.2.3. Study Specific KRI 3 – Missed Assessment SALT ............................19, 5.2.4. Study Specific KRI 4 – Missed Assessment – PGI-C .......................20, 5.2.5. Study Specific KRI 5 – Missed Assessment – AAPPO ....................21, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 1 of 40, DocUUID : fc6860f7-2e0f-4dba-a1fd-ee8747c9c2f4, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08- 2.0 CENTRAL MONITORING PLAN TEMPLATE, WI-CDS01-RF02, 5.2.6. Study Specific KRI 6 – Missed Assessment - PROMIS Anxiety, Symptoms .......................................................................................................22, 5.2.7. Study Specific KRI 7 – Missed Assessment - PROMIS, Depressive Symptoms..................................................................................24",29,10,2,Monthly,"At least 10 unique sites w/ 1+ screened subjects,",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Yes,TRUE
B7981032,6.0,21-Oct-2025,Inform Volume 2 / Inform Volume 3 / REDCap,"4.1. Scheduled Visits .....................................................................................................7, 4.2. Unscheduled Visits, Technical, and Log Forms ................................................9, 4.3. Remapped Visits ..................................................................................................10, 4.4. Saturday/Sunday .................................................................................................13, 5. KEY RISK INDICATORS ..................................................................................................14, 5.1. Global Standard KRIs .........................................................................................14, 5.2. Study Specific KRIs .............................................................................................15, 5.2.1. Study Specific KRI 1 ...............................................................................15, 5.2.2. Study Specific KRI 2 ...............................................................................16, 5.2.3. Study Specific KRI 3 ...............................................................................17, 5.2.4. Study Specific KRI 4 ...............................................................................18, 5.2.5. Study Specific KRI 5 ...............................................................................19, 5.2.6. Study Specific KRI 6 ...............................................................................19, 5.2.7 Study Specific KRI 7 ................................................................................21, 6. DATA QUALITY ASSESSMENT (DQA) .........................................................................22, 7. POTENTIAL DUPLICATE PATIENT (PDP) ANALYSIS ...............................................22, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 1 of 27, DocUUID : 96f48e7d-80ea-47bd-81b2-b05c595f60ee, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08- 2.0 CENTRAL MONITORING PLAN TEMPLATE, WI-CDS01-RF02",6,7,0,Quarterly,31-Dec-2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE
B7981040,4.0,11-Nov-2025,Inform Volume 2 / Inform Volume 3 / REDCap / Other: Refer to DMB07-GSOP-RF27 Data Management Plan Template [TMF,"4.2. Unscheduled Visits, Technical, and Log Forms ........................................................................ 7, 5.2.1. Missed Assessment – F-VASI ................................................................................... 15, 5.2.2. Missed Assessment – T-VASI ................................................................................... 17, 5.2.3. Missed Assessment – PGIS-F ................................................................................... 18, 5.2.4. Missed Assessment – PGIS-V ................................................................................... 19, 5.2.5. Missed Assessment – PGIC-F ................................................................................... 20, 5.2.6. Missed Assessment – PGIC-V ................................................................................... 21, 7. POTENTIAL DUPLICATE PATIENT (PDP) ANALYSIS ....................................................................... 22, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 1 of 34, DDooccUUUUIIDD :: 352e5b2ba6257d56--0cb90698--4431cd4e--b9fbba97-d-b910f1d03c924d336f7f0f2, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08- 2.0 CENTRAL MONITORING PLAN TEMPLATE, WI-CDS01-RF02, 7.3. Generic Variables - Standard Variables ................................................................................. 23, 7.5. Standard Filtering Applied to Duplicate Patients Report ......................................................... 24, 8.1. Timing and Frequency of QTL Analysis .................................................................................. 32, Page 2 of 34, 1. CMP DOCUMENT REVISION HISTORY, Document Effective Author Summary of Revisions, Revision Date, 1.0 13-Feb-2023 Shannon Smith Initial version",32,6,5,Monthly,At least 10 unique sites w/ 1+ screened subjects.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Yes,TRUE
B7981041,8.0,18-Dec-2025,Inform Volume 2 / Inform Volume 3 / REDCap,"4.1. Scheduled Visits .....................................................................................................9, 4.2. Unscheduled Visits, Technical, and Log Forms ................................................9, 4.3. Remapped Visits ..................................................................................................10, 4.4. Saturday/Sunday .................................................................................................10, 5. KEY RISK INDICATORS ..................................................................................................11, 5.1. Global Standard KRIs .........................................................................................11, 5.2. Study Specific KRIs .............................................................................................12, 5.2.1. Study Specific KRI 1 - Missed Assessment – F-VASI ......................13, 5.2.2. Study Specific KRI 2 - Missed Assessment – T-VASI ......................14, 5.2.3. Study Specific KRI 3 - Missed Assessment – PGIS-F ......................16, 5.2.4. Study Specific KRI 4 - Missed Assessment – PGIS-V ......................17, 5.2.5. Study Specific KRI 5 - Missed Assessment – PGIC-F ......................19, 5.2.6. Study Specific KRI 6 - Missed Assessment – PGIC-V .....................20, 5.2.7. Study Specific KRI 7 - Missed Assessment – C-SSRS ....................22, 5.2.8. Study Specific KRI 8 – Early Termination Rate .................................23, 5.2.9. Study Specific KRI 9 – Heart Rate and Pulse Discrepancies Rate 24, 6. DATA QUALITY ASSESSMENT (DQA) .........................................................................26, 7. POTENTIAL DUPLICATE PATIENT (PDP) ANALYSIS ...............................................26, 8. QUALITY TOLERANCE LIMIT (QTL) ...........................................................................26, 8.1. Timing and Frequency of QTL Analysis ...........................................................27, 8.2. Sister KRI(s) to Support QTL .............................................................................28, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 2 of 29, DocUUID : 0b3f43cb-ab4a-45fe-9031-2727eeb2f152",6,9,1,Unknown,At least 10 unique sites w/ 1+ screened subjects for KRI; First analysis: 2024-05-21 KRI,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Yes,FALSE
B7981080,2.0,24-Feb-2026,Inform Volume 2 / Inform Volume 3 / REDCap,"4.1. Unscheduled Visits, Technical, and Log Forms ................................................9, 4.2. Remapped Visits ....................................................................................................9, 4.3. Saturday/Sunday ...................................................................................................9, 5. KEY RISK INDICATORS ..................................................................................................10, 5.1. Global Standard KRIs .........................................................................................10, 5.2. Study Specific KRIs .............................................................................................15, 5.2.1. Study Specific KRI 1: Dosing eDiary Compliance .............................15, 5.2.2. Study Specific KRI 2: Missed Assessment – F-VASI ........................16, 5.2.3. Study Specific KRI 3: Missed Assessment – T-VASI ........................18, 5.2.4. Study Specific KRI 4: Missed Assessment – PGIC-F .......................19, 5.2.5. Study Specific KRI 5: Missed Assessment – PGIC-V .......................20, 5.2.6. Study Specific KRI 6: Missed Sample Tracking – PK Sampling .....21, 6. DATA QUALITY ASSESSMENT (DQA) .........................................................................22, 7. POTENTIAL DUPLICATE PATIENT (PDP) ANALYSIS ...............................................22, 7.1. Exclusion Criteria .................................................................................................23, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 1 of 52, DocUUID : 6e76ec29-9e91-4f6e-8f2a-d22357da811a, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08- 2.0 CENTRAL MONITORING PLAN TEMPLATE, WI-CDS01-RF02, 7.2. Distance Calculations ..........................................................................................23",28,6,8,monthly,At least 10 unique sites w/ 1+ screened subjects for KRI;,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Unknown,TRUE
B7981094,7.0,09-Jan-2026,Inform Volume 2 / Inform Volume 3 / REDCap / Other: Refer to DMB07-GSOP-RF27 Data Management Plan Template [TMF,"4.1. Scheduled Visits .....................................................................................................8, 4.2. Unscheduled Visits, Technical, and Log Forms ................................................8, 4.3. Remapped Visits ....................................................................................................9, 4.4. Saturday/Sunday ...................................................................................................9, 5. KEY RISK INDICATORS ..................................................................................................10, 5.1. Global Standard KRIs .........................................................................................10, 5.2. Study Specific KRIs .............................................................................................11, 5.2.1. Study Specific KRI 1: SAE Reporting Timeliness ..............................12, 5.2.2. Study Specific KRI 2: Discontinuation due to Adverse Event ..........13, 5.2.3. Study Specific KRI 3: Early Termination Rate ....................................14, 5.2.4. Study Specific KRI 4: Missed Assessment – PGI-C .........................15, 5.2.5. Study Specific KRI 5: Missed Assessment – P-Sat...........................16, 5.2.6. Study Specific KRI 6: Missed Assessment – SALT...........................17, 5.2.7. Study Specific KRI 7: Missed Assessment – ELA .............................18, 5.2.8. Study Specific KRI 8: Missed Assessment – EBA.............................19, 6. DATA QUALITY ASSESSMENT (DQA) .........................................................................20, 7. POTENTIAL DUPLICATE PATIENT (PDP) ANALYSIS ...............................................20, 7.1. Exclusion Criteria .................................................................................................20, 7.2. Distance Calculations ..........................................................................................21, 7.3. GENERIC VARIABLES - STANDARD VARIABLES ......................................21, 7.4. STUDY-SPECIFIC VARIABLES .......................................................................22, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 2 of 29, DocUUID : 1bce024b-02a4-41b6-8d3f-6feb76ab3172",5,8,0,Monthly,At least 10 unique sites w/ 1+ screened subjects for KRI.,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Yes,TRUE
B7981119,1.0,04-Mar-2026,Inform Volume 2 / Inform Volume 3 / REDCap,"4. VISIT SCHEDULE ..................................................................................................... 7, 4.1. Scheduled Visits ............................................................................................ 7, 4.2. Unscheduled Visits, Technical, and Log Forms ........................................... 8, 4.3. Remapped Visits ........................................................................................... 8, 4.4. Saturday/Sunday ........................................................................................... 9, 5. KEY RISK INDICATORS ........................................................................................ 11, 5.1. Global Standard KRIs .................................................................................. 11, 5.2. Study Specific KRIs ..................................................................................... 12, 5.2.1. Study Specific KRI 1 ........................................................................ 13, 5.2.2. Study Specific KRI 2 ........................................................................ 15, 6. DATA QUALITY ASSESSMENT (DQA) ................................................................. 16, 7. POTENTIAL DUPLICATE PATIENT (PDP) ANALYSIS ........................................ 16, 7.1. Exclusion Criteria ......................................................................................... 17, 7.2. Distance Calculations .................................................................................. 17, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 1 of 26, DocUUID : 43ad3e48-d0a6-49e8-8e21-372bf72c9c65, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08- 2.0 CENTRAL MONITORING PLAN TEMPLATE, WI-CDS01-RF02, 7.3. Generic Variables - Standard Variables ..................................................... 18, 7.4. Study-Specific Variables ............................................................................. 19",24,3,1,Unknown,At least 10 unique sites w/ 1+ screened subjects,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Unknown,TRUE
C1071003,18.0,13-Jan-2026,Inform Volume 2 / Inform Volume 3 / REDCap,"4. VISIT SCHEDULE .............................................................................................................14, 4.1. Scheduled Visits ...................................................................................................14, 4.2. Unscheduled Visits, Technical, and Log Forms ..............................................27, 4.3. Remapped Visits ..................................................................................................28, 4.4. Saturday/Sunday .................................................................................................31, 5. KEY RISK INDICATORS ..................................................................................................32, 5.1. Global Standard KRIs .........................................................................................32, 5.2. Study Specific KRIs .............................................................................................36, 5.2.1. Study Specific KRI 1 .................................................................................36, 5.2.2. Study Specific KRI 2 .................................................................................37, 5.2.3. Study Specific KRI 3 .................................................................................39, 5.2.4. Study Specific KRI 4 - KRI disabled at KRI F/U11 analysis....................41, 5.2.5. Study Specific KRI 5 .................................................................................43, 5.2.6. Study Specific KRI 6 .................................................................................45, 5.2.7. Study Specific KRI 7 – KRI Disabled at KRI F/U11 analysis ..................46, 5.2.8. Study Specific KRI 8 .................................................................................47, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 1 of 70, DocUUID : ee10e30e-e00b-4a26-bc05-ee2ab86a9a7a, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08- 2.0 CENTRAL MONITORING PLAN TEMPLATE, WI-CDS01-RF02",14,13,0,ca. (= approximately) Quarterly starting from KRI F/U40,(actual) 06-Sep-2021,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Yes,TRUE
C1071005,15.0,09-Jan-2026,Inform Volume 2 / Inform Volume 3 / REDCap,"4.1. Scheduled Visits .....................................................................................................9, 4.2. Unscheduled Visits, Technical, and Log Forms ..............................................21, 4.3. Remapped Visits ..................................................................................................21, 4.4. Saturday/Sunday .................................................................................................24, 5. KEY RISK INDICATORS ..................................................................................................25, 5.1. Global Standard KRIs .........................................................................................25, 5.2. Study Specific KRIs .............................................................................................38, 5.2.1. Study Specific KRI 1 - AE UNDER REPORTING AT CYCLE 3 ...........38, 5.2.2. Study Specific KRI 2 – AE UNDER REPORTING AT CYCLE 6 ..........39, 5.2.3. Study Specific KRI 3 – AE UNDER REPORTING AT CYCLE 12 ........41, 5.2.4. Study Specific KRI 4 – Missing External Labs Items ...............................42, 5.2.5. Study Specific KRI 5 – Rate of Not Done DA Serum Lab Tests ..............44, 5.2.6. Study Specific KRI 6 – Missed Neurological Examination ......................46, 5.2.7. Study Specific KRI 7 – Missed IMWG Response.....................................47, 5.2.8. Study Specific KRI 8 – Patient COVID Infection Rate ............................48, 6. DATA QUALITY ASSESSMENT (DQA) .........................................................................49, 7. POTENTIAL DUPLICATE PATIENT (PDP) ANALYSIS ...............................................50, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 1 of 59, DocUUID : 130e0915-fb6b-44bc-9bc4-b7f54a77a50f, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08- 2.0 CENTRAL MONITORING PLAN TEMPLATE",29,8,2,Monthly,and,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Yes,TRUE
C1071006,10.0,15-Dec-2025,Inform Volume 2 / Inform Volume 3 / REDCap,"4. VISIT SCHEDULE ..................................................................................................... 7, 4.1. Scheduled Visits ............................................................................................ 7, 4.2. Unscheduled Visits, Technical, and Log Forms ......................................... 17, 4.3. Remapped Visits ......................................................................................... 17, 4.4. Saturday/Sunday ......................................................................................... 19, 5. KEY RISK INDICATORS ........................................................................................ 20, 5.1. Global Standard KRIs .................................................................................. 20, 5.2. Study Specific KRIs ..................................................................................... 24, 5.2.1. Study Specific KRI 1 ........................................................................ 24, 5.2.2. Study Specific KRI 2 ........................................................................ 25, 5.2.3. Study Specific KRI 3 ........................................................................ 26, 5.2.4. Study Specific KRI 4 ........................................................................ 27, 5.2.5. Study Specific KRI 5 ........................................................................ 28, 5.2.6. Study Specific KRI 6 ........................................................................ 29, 5.2.7. Study Specific KRI 7 ........................................................................ 30, 5.2.8. Study Specific KRI 8 ........................................................................ 32, 5.2.9. Study Specific KRI 9 ........................................................................ 33, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 1 of 61, DocUUID : cbe37544-c562-48cf-b2a3-f6c1d56ac495, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08- 2.0 CENTRAL MONITORING PLAN TEMPLATE",7,13,3,Monthly,and,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Yes,TRUE
C1071007,20.0,23-Jan-2026,Inform Volume 2 / Inform Volume 3 / REDCap,"4. VISIT SCHEDULE .............................................................................................................20, 4.1. Scheduled Visits ...................................................................................................20, 4.2. Unscheduled Visits, Technical, and Log Forms ..............................................32, 4.3. Remapped Visits ..................................................................................................33, 4.4. Saturday/Sunday .................................................................................................37, DocUUID : d7c3b653-775a-4827-bf7e-7f64dbcb354b, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08-WI- 2.0 CENTRAL MONITORING PLAN, CDS01-RF02, 5. KEY RISK INDICATORS ..................................................................................................37, 5.1. Global Standard KRIs .........................................................................................37, 5.2. Study Specific KRIs .............................................................................................43, 5.2.1. Study Specific KRI 1- - Missed IMWG Response ..............................43, 5.2.2. Study Specific KRI 2 – RETIRED: Missed Neurological Examinations 44, 5.2.3. Study Specific KRI 3 - Missed Pharmacokinetics Points ..................46, 5.2.4. Study Specific KRI 4 - Missed Immunogenicity – ADA NAB ...........48, 5.2.5. Study Specific KRI 5 - Missed CRS Symptom Occurrence/ Supported Event 49, 5.2.6. Study Specific KRI 6 – RETIRED: Missed VS in Case of CRS .......51, 5.2.7. Study Specific KRI 7 – RETIRED: Missed ICANS AE ......................52, 5.2.9. Study Specific KRI 9 -RETIRED: Adverse Event Reported at Cycle 3 54, 5.2.10. Study Specific KRI 10 – RETIRED: Adverse Event Reported at Cycle 6 55, 5.2.11. Study Specific KRI 11 – RETIRED: Adverse Event Reported at Cycle 12 56, 5.2.12. Study Specific KRI 12 – RETIRED: 0mg Dose Occurrence ..........57",24,8,2,monthly,At least 10 unique sites w/ 1+ screened subjects for KRI.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Yes,TRUE
C1071015,2.0,05-Feb-2026,Inform Volume 2 / Inform Volume 3 / REDCap,"4.1. Scheduled Visits .....................................................................................................3, 4.2. Unscheduled Visits, Technical, and Log Forms ................................................5, 4.3. Remapped Visits ....................................................................................................5, 4.4. Saturday/Sunday ...................................................................................................5, 5. KEY RISK INDICATORS ....................................................................................................6, 5.1. Global Standard KRIs ...........................................................................................6, 5.2. Study Specific KRIs ...............................................................................................8, 5.2.1. Study Specific KRI 1 – Discontinuation due to Adverse Events, (AEs)..................................................................................................................8, 5.2.2. Study Specific KRI 2 – Adverse Event (AE) Data Entry, Timeliness ........................................................................................................9, 5.2.3. Study Specific KRI 3 – Serious Adverse Event (SAE) Latency, Awareness ......................................................................................................10, 5.2.4. Study Specific KRI 4 – Identical Dosing Administration ...................11, 6. DATA QUALITY ASSESSMENT (DQA) .........................................................................12, 7. POTENTIAL DUPLICATE PATIENT (PDP) ANALYSIS ...............................................12, 8. QUALITY TOLERANCE LIMIT (QTL) ...........................................................................12, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 1 of 13, DocUUID : 127027f5-8f66-452f-ba43-a1390155ba4b, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08- 2.0 CENTRAL MONITORING PLAN TEMPLATE",7,4,0,Quarterly,At least 10 unique sites w/ 1+ screened subjects for KRI.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,FALSE
C2321003,4.0,12-Sep-2025,Inform Volume 2 / Inform Volume 3 / REDCap,"4.1. Scheduled Visits .....................................................................................................7, 4.2. Unscheduled Visits, Technical, and Log Forms ................................................9, 4.3. Remapped Visits ....................................................................................................9, 4.4. Saturday/Sunday .................................................................................................10, 5. KEY RISK INDICATORS ..................................................................................................11, 5.1. Global Standard KRIs .........................................................................................11, 5.2. Study Specific KRIs .............................................................................................14, 5.2.1. Study Specific KRI 1 - Early Withdrawal Rate ....................................14, 5.2.2. Study Specific KRI 2 - Missed RECIST ...............................................15, 5.2.3. Study Specific KRI 3 - Missed PCWG3 ...............................................16, 5.2.4. Study Specific KRI 4 - Participants with Missed Critical Safety, Labs .................................................................................................................19, 5.2.5. Study Specific KRI 5 - Missed Pharmacokinetics Points ..................21, 5.2.6. Study Specific KRI 6 - Missed Blood collection for ctDNA ...............22, 5.2.7. Study Specific KRI 7 - Early Termination Rate (ETRATE) ...............23, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 1 of 57, DocUUID : b2557f68-0dfc-456b-99ed-e20737aaf477, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08- 2.0 CENTRAL MONITORING PLAN TEMPLATE, WI-CDS01-RF02, 5.2.8. Study Specific KRI 8 - AE Entry Timeliness - Last 60 Days",17,10,5,Bi-Monthly,"At least 10 unique sites w/ 1+ screened subjects,",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Yes,TRUE
C2321008,2.0,26-Feb-2026,Inform Volume 2 / Inform Volume 3 / REDCap,"4. VISIT SCHEDULE .................................................................................................. 6, 4.1. Scheduled Visits ......................................................................................... 6, 4.2. Unscheduled Visits, Technical, and Log Forms........................................... 8, 4.3. Remapped Visits ......................................................................................... 8, 4.4. Saturday/Sunday ......................................................................................... 9, 5. KEY RISK INDICATORS ...................................................................................... 10, 5.1. Global Standard KRIs ............................................................................... 10, 5.2. Study Specific KRIs ................................................................................... 12, 5.2.1. Study Specific KRI 1- Missed RECIST .......................................... 12, 5.2.2. Study Specific KRI 2- Missed PCWG3 .......................................... 14, 5.2.3. Study Specific KRI 3- Early Termination Rate (ETRATE) .............. 17, 5.2.4. Study Specific KRI 4- AE Entry Timeliness - Last 60 Days ............ 19, 5.2.5. Study Specific KRI 5- SAE Entry Timeliness - Last 60 Days ......... 21, 5.2.6. Study Specific KRI 6- Participants Missed Critical Safety Labs ..... 24, 5.2.7. Study Specific KRI 7- Baseline Missed Critical Safety Labs .......... 25, 5.2.8. Study Specific KRI 8 - Missed Blood collection for cf Nucleic, Acids ................................................................................................... 27, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 1 of 50, DDooccUUUUIIDD :: 67f560d05b8cc128--e5535d7b--44050c19--9ba89795--4fe7b47a7f94c7501412ae37, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE, Identifier Version Title, DMB07-DMB08- 2.0 CENTRAL MONITORING PLAN TEMPLATE",18,9,4,Unknown,"At least 10 unique sites w/ 1+ screened subjects,",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,FALSE
C2321014,5.0,12-Jan-2026,Inform Volume 2 / Inform Volume 3 / REDCap,"4. VISIT SCHEDULE .............................................................................................................11, 4.1. Scheduled Visits ...................................................................................................11, 4.2. Unscheduled Visits, Technical, and Log Forms ..............................................13, 4.3. Remapped Visits ..................................................................................................13, 4.4. Saturday/Sunday .................................................................................................14, 5. KEY RISK INDICATORS ..................................................................................................15, 5.1. Global Standard KRIs .........................................................................................15, 5.2. Study Specific KRIs .............................................................................................19, 5.2.1. Study Specific KRI 1 - Missed RECIST ...............................................19, 5.2.2. Study Specific KRI 2 - Missed PCWG3 ...............................................21, 5.2.3. Study Specific KRI 3 - Missed Blood collection for cf Nucleic, Acids ................................................................................................................24, 5.2.4. Study Specific KRI 4 – SAE Data Entry Timeliness ..........................25, 5.2.5. Study Specific KRI 5 - Missed Pharmacokinetics Points ..................26, 6. DATA QUALITY ASSESSMENT (DQA) .........................................................................28, 7. POTENTIAL DUPLICATE PATIENT (PDP) ANALYSIS ...............................................28, 8. QUALITY TOLERANCE LIMIT (QTL) ...........................................................................28, 8.1. Timing and Frequency of QTL Analysis ...........................................................41, 8.2. Sister KRI(s) to Support QTL .............................................................................41, PFIZER CONFIDENTIAL, TMF Doc ID 928.06, Page 2 of 52, DocUUID : c630bcbe-5f52-4384-806f-bbf54e3737dd, CLINICAL AND MEDICAL CONTROLLED DOCUMENT (CMCD), REQUIRED FORM/TEMPLATE",21,5,5,Bi-monthly,At least 10 unique sites w/ 1+ screened subjects.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Yes,FALSE
